dataset,video,n_frames,event_id,onset,duration
CDnet2014,continuousPan,1100,0,600,9
CDnet2014,continuousPan,1100,1,625,1
CDnet2014,continuousPan,1100,2,647,1
CDnet2014,continuousPan,1100,3,649,1
CDnet2014,continuousPan,1100,4,652,2
CDnet2014,continuousPan,1100,5,658,2
CDnet2014,continuousPan,1100,6,662,1
CDnet2014,continuousPan,1100,7,664,3
CDnet2014,continuousPan,1100,8,672,1
CDnet2014,continuousPan,1100,9,675,2
CDnet2014,continuousPan,1100,10,678,6
CDnet2014,continuousPan,1100,11,685,7
CDnet2014,continuousPan,1100,12,693,1
CDnet2014,continuousPan,1100,13,695,14
CDnet2014,continuousPan,1100,14,711,2
CDnet2014,continuousPan,1100,15,716,1
CDnet2014,continuousPan,1100,16,722,878
CDnet2014,continuousPan,1100,17,1601,1
CDnet2014,continuousPan,1100,18,1603,2
CDnet2014,continuousPan,1100,19,1609,3
CDnet2014,continuousPan,1100,20,1613,5
CDnet2014,continuousPan,1100,21,1619,2
CDnet2014,continuousPan,1100,22,1622,1
CDnet2014,continuousPan,1100,23,1624,2
CDnet2014,continuousPan,1100,24,1629,1
CDnet2014,continuousPan,1100,25,1631,2
CDnet2014,continuousPan,1100,26,1634,9
CDnet2014,continuousPan,1100,27,1644,6
CDnet2014,continuousPan,1100,28,1652,1
CDnet2014,continuousPan,1100,29,1656,44
CDnet2014,intermittentPan,2300,0,1200,194
CDnet2014,intermittentPan,2300,1,1398,1
CDnet2014,intermittentPan,2300,2,1426,1
CDnet2014,intermittentPan,2300,3,1433,1
CDnet2014,intermittentPan,2300,4,1457,1
CDnet2014,intermittentPan,2300,5,1482,14
CDnet2014,intermittentPan,2300,6,1497,14
CDnet2014,intermittentPan,2300,7,1512,16
CDnet2014,intermittentPan,2300,8,1529,90
CDnet2014,intermittentPan,2300,9,1621,1
CDnet2014,intermittentPan,2300,10,1626,8
CDnet2014,intermittentPan,2300,11,1641,17
CDnet2014,intermittentPan,2300,12,1660,321
CDnet2014,intermittentPan,2300,13,1982,12
CDnet2014,intermittentPan,2300,14,1995,1
CDnet2014,intermittentPan,2300,15,2013,4
CDnet2014,intermittentPan,2300,16,2018,2
CDnet2014,intermittentPan,2300,17,2021,1
CDnet2014,intermittentPan,2300,18,2023,17
CDnet2014,intermittentPan,2300,19,2041,81
CDnet2014,intermittentPan,2300,20,2124,13
CDnet2014,intermittentPan,2300,21,2242,132
CDnet2014,intermittentPan,2300,22,2384,27
CDnet2014,intermittentPan,2300,23,2457,35
CDnet2014,intermittentPan,2300,24,2585,27
CDnet2014,intermittentPan,2300,25,2613,14
CDnet2014,intermittentPan,2300,26,2628,71
CDnet2014,intermittentPan,2300,27,2700,10
CDnet2014,intermittentPan,2300,28,2731,8
CDnet2014,intermittentPan,2300,29,2740,2
CDnet2014,intermittentPan,2300,30,2745,454
CDnet2014,intermittentPan,2300,31,3203,12
CDnet2014,intermittentPan,2300,32,3216,1
CDnet2014,intermittentPan,2300,33,3218,79
CDnet2014,intermittentPan,2300,34,3298,144
CDnet2014,intermittentPan,2300,35,3443,11
CDnet2014,intermittentPan,2300,36,3455,10
CDnet2014,intermittentPan,2300,37,3479,21
CDnet2014,twoPositionPTZCam,1500,0,800,253
CDnet2014,twoPositionPTZCam,1500,1,1059,27
CDnet2014,twoPositionPTZCam,1500,2,1088,3
CDnet2014,twoPositionPTZCam,1500,3,1092,3
CDnet2014,twoPositionPTZCam,1500,4,1107,5
CDnet2014,twoPositionPTZCam,1500,5,1115,4
CDnet2014,twoPositionPTZCam,1500,6,1120,89
CDnet2014,twoPositionPTZCam,1500,7,1212,11
CDnet2014,twoPositionPTZCam,1500,8,1224,1
CDnet2014,twoPositionPTZCam,1500,9,1226,3
CDnet2014,twoPositionPTZCam,1500,10,1230,5
CDnet2014,twoPositionPTZCam,1500,11,1236,3
CDnet2014,twoPositionPTZCam,1500,12,1249,18
CDnet2014,twoPositionPTZCam,1500,13,1268,1
CDnet2014,twoPositionPTZCam,1500,14,1277,34
CDnet2014,twoPositionPTZCam,1500,15,1340,10
CDnet2014,twoPositionPTZCam,1500,16,1351,6
CDnet2014,twoPositionPTZCam,1500,17,1359,26
CDnet2014,twoPositionPTZCam,1500,18,1400,209
